"CO_CURSO";"CO_GRUPO";"NU_ANO";"NT_GER";"TP_SEXO";"NU_IDADE";"QE_I02";"QE_I08";"QE_I09";"QE_I10";"QE_I11";"QE_I15";"QE_I23"
5084;1;2015;54,7;"F";"21";"A";"E";"F";"E";"C";"E";"B"
5085;26;2015;NA;"F";"23";"D";"B";"B";"B";"A";"A";"C"
5112;1;2018;36,4;"M";"26";"A";"D";"";"A";"H";"E";"B"
5118;18;2018;42,1;"M";"24";"A";"A";"B";"A";"B";"A";"C"
5121;1;2012;18,5;"F";"34";"A";"";"";"A";"";"";""
5129;22;2015;38,9;"M";"21";"A";"C";"C";"E";"B";"A";""
5132;67;2015;52,8;"F";"22";"A";"";"D";"D";"G";"A";"B"
5187;2;2015;70,9;"M";"23";"A";"B";"E";"B";"B";"A";"E"
5227;1;2018;35,8;"F";"23";"";"";"F";"E";"H";"A";"B"
5233;22;2015;NA;"M";"27";"A";"";"";"A";"";"A";"C"
5236;2;2012;32,4;"M";"32";"A";"G";"";"";"";"A";"C"
5267;13;2015;33;"F";"42";"A";"D";"C";"E";"B";"A";"B"
5268;1;2015;35;"M";"27";"A";"C";"C";"E";"F";"A";"B"
5275;2;2018;47,8;"F";"36";"A";"B";"B";"C";"";"A";"C"
5309;22;2015;30,5;"F";"25";"C";"D";"C";"E";"B";"A";"B"
5310;1;2015;52,5;"F";"23";"A";"";"E";"E";"";"D";""
5316;2;2012;43,2;"M";"30";"";"D";"";"A";"B";"A";"B"
5317;1;2012;35,4;"M";"28";"";"A";"D";"E";"C";"";"D"
5320;22;2012;32,7;"F";"33";"";"F";"C";"E";"I";"A";"B"
5329;2;2022;NA;"F";"24";"D";"F";"C";"A";"A";"A";"A"
5331;13;2018;32,3;"M";"42";"A";"F";"E";"E";"";"";"E"
5332;1;2015;NA;"F";"36";"A";"A";"C";"A";"J";"";"A"
5333;22;2015;35,2;"F";"23";"A";"D";"D";"E";"B";"A";"B"
5337;1;2012;40,6;"M";"28";"A";"C";"E";"A";"C";"A";"A"
5338;22;2022;NA;"F";"40";"C";"F";"C";"E";"B";"A";"B"
5343;1;2015;43,1;"M";"44";"A";"H";"C";"A";"";"A";"B"
5347;22;2022;31,3;"M";"24";"A";"D";"B";"E";"B";"A";"B"
5348;1;2012;43,4;"F";"23";"D";"C";"F";"E";"";"A";"B"
5380;22;2012;22,5;"F";"25";"A";"B";"D";"";"B";"E";"A"
5381;1;2012;37,9;"F";"26";"C";"C";"";"E";"B";"A";"C"
5382;2;2015;NA;"F";"24";"B";"B";"B";"E";"B";"D";"C"
5383;13;2018;45,1;"F";"27";"B";"B";"D";"E";"";"A";"E"
5389;22;2012;NA;"M";"29";"";"";"";"";"";"";""
5410;1;2012;NA;"M";"37";"A";"";"C";"E";"";"D";"B"
5412;13;2012;NA;"F";"35";"D";"C";"B";"D";"G";"C";""
5413;22;2012;44,6;"F";"24";"C";"C";"";"E";"I";"A";"A"
5425;29;2012;38,8;"M";"20";"B";"E";"B";"";"H";"B";"D"
5429;1;2012;NA;"F";"30";"";"";"";"";"";"";""
5430;22;2012;18,9;"M";"31";"A";"D";"";"";"";"A";""
5431;1;2012;NA;"F";"34";"A";"F";"";"A";"";"";"C"
5435;1;2012;NA;"F";"25";"";"";"";"";"";"A";""
5436;2;2012;NA;"F";"35";"";"F";"";"E";"";"A";""
5464;2;2012;29,9;"M";"41";"A";"G";"D";"B";"B";"";"B"
5468;22;2015;16,5;"M";"21";"C";"";"E";"E";"E";"A";"B"
5469;1;2012;63,4;"F";"51";"A";"A";"C";"B";"E";"A";"C"
5474;1;2018;29,7;"F";"28";"C";"E";"B";"E";"B";"A";"B"
5475;22;2018;51,1;"F";"23";"C";"C";"E";"E";"B";"C";"B"
5476;13;2015;30,9;"M";"47";"D";"G";"";"A";"D";"E";"B"
5492;26;2012;53,4;"M";"26";"A";"F";"B";"D";"B";"A";"D"
5493;67;2012;56,4;"F";"22";"A";"C";"E";"E";"F";"A";"C"
5498;2;2022;58,1;"M";"21";"D";"D";"C";"D";"I";"C";"C"
5567;1;2012;52,1;"F";"48";"C";"";"";"";"B";"A";"C"
5568;22;2012;18,8;"M";"35";"C";"";"F";"E";"B";"A";"B"
5575;13;2022;31,6;"F";"21";"A";"B";"B";"D";"A";"A";"C"
5576;22;2015;48,9;"F";"23";"A";"B";"C";"B";"B";"";"B"
5577;1;2018;45;"M";"23";"A";"B";"C";"A";"B";"A";"B"
5615;2;2022;57,3;"F";"30";"A";"G";"E";"D";"H";"A";"E"
5668;22;2015;45,5;"F";"28";"A";"D";"D";"B";"";"A";"B"
5691;13;2012;29,9;"M";"25";"A";"E";"D";"E";"";"";""
5692;22;2018;33,9;"M";"33";"A";"C";"E";"E";"";"";"E"
5693;1;2015;40,4;"F";"23";"A";"D";"D";"D";"";"A";"B"
5717;13;2018;70,3;"M";"28";"D";"D";"D";"D";"A";"A";"C"
5718;22;2018;64,3;"M";"30";"D";"E";"D";"E";"C";"A";"A"
5735;1;2012;44,9;"F";"34";"A";"D";"";"A";"F";"";"B"
5736;22;2012;25,6;"F";"24";"A";"B";"F";"E";"H";"A";"C"
5737;2;2018;NA;"M";"29";"";"E";"";"";"";"A";"B"
